&a 	I1
-2.981	6.0
-2.987	5.2
-2.992	4.7
-2.997	4.3
-3.003	4.0
-3.008	4.0
-3.013	4.0
-3.019	4.0
-3.024	4.0
-3.029	4.4
-3.035	5.2
-3.040	6.0
-3.045	7.6
-3.051	10.0
-3.056	14.4
-3.061	22.7
-3.067	32.3
-3.072	36.3
-3.077	31.3
-3.083	23.1
-3.088	16.4
-3.093	11.8
-3.099	8.8
-3.104	6.8
-3.109	5.6
-3.115	4.8
-3.120	4.4
-3.125	4.0
-3.131	4.0
-3.136	4.0
-3.141	4.0
-3.147	4.0
-3.152	4.4
-3.157	4.9
-3.163	5.7
-3.168	7.3
-3.173	9.8
-3.179	14.3
-3.184	22.0
-3.189	31.1
-3.195	34.1
-3.200	29.2
-3.205	21.5
-3.211	15.2
-3.216	10.8
-3.221	8.1
-3.227	6.4
-3.232	5.2
-3.237	4.5
-3.243	4.1
-3.248	3.9
-3.253	3.9
-3.259	3.9
-3.264	4.0
-3.269	4.0
-3.275	4.4
-3.280	5.0
-3.285	5.9
-3.291	7.7
-3.296	11.2
-3.301	17.7
-3.306	25.7
-3.312	30.0
-3.317	27.2
-3.322	20.8
-3.328	15.1
-3.333	10.8
-3.338	8.1
-3.344	6.4
-3.349	5.2
-3.354	4.6
-3.360	4.2
-3.365	4.0
-3.370	4.0
-3.376	4.0
-3.381	4.0
-3.386	4.4
-3.392	5.2
-3.397	6.4
-3.402	8.4
-3.408	12.1
-3.413	18.1
-3.418	25.3
