&a / 	I1 /
-2.095	12.9
-2.101	11.8
-2.106	11.3
-2.111	11.7
-2.117	12.5
-2.122	14.1
-2.127	16.5
-2.133	19.7
-2.138	23.0
-2.143	25.2
-2.149	25.5
-2.154	24.7
-2.159	23.4
-2.165	21.9
-2.170	21.1
-2.175	21.8
-2.181	24.5
-2.186	29.5
-2.191	35.1
-2.197	38.7
-2.202	37.0
-2.207	31.8
-2.213	26.3
-2.218	22.8
-2.223	21.4
-2.229	21.4
-2.234	22.2
-2.240	23.0
-2.245	23.4
-2.250	23.3
-2.256	21.9
-2.261	19.1
-2.266	16.2
-2.272	13.8
-2.277	12.2
-2.282	11.4
-2.288	11.3
-2.293	12.0
-2.298	13.6
-2.304	16.3
-2.309	20.0
-2.314	23.6
-2.320	25.3
-2.325	25.2
-2.330	24.0
-2.336	22.1
-2.341	20.7
-2.346	20.8
-2.352	23.1
-2.357	28.2
-2.362	34.7
-2.368	38.8
-2.373	36.7
-2.378	31.1
-2.384	25.9
-2.389	22.7
-2.394	21.6
-2.400	22.0
-2.405	23.2
-2.410	24.7
-2.416	25.1
-2.421	23.1
-2.426	19.6
-2.432	16.2
-2.437	13.5
-2.442	12.0
-2.448	11.3
-2.453	11.5
-2.458	12.4
-2.464	14.6
-2.469	18.0
-2.474	22.1
-2.480	25.0
-2.485	25.2
-2.490	23.6
-2.496	21.3
-2.501	19.7
-2.506	19.9
-2.512	22.7
-2.517	28.7
-2.522	35.5
-2.528	37.8
-2.533	33.8
-2.538	28.1
-2.544	23.7
-2.549	21.6
-2.554	21.2
-2.560	22.3
-2.565	23.9
-2.570	25.0
-2.576	23.2
-2.581	19.6
-2.586	16.0
-2.592	13.4
-2.597	11.9
-2.602	11.2
-2.608	11.4
-2.613	12.7
-2.619	15.4
-2.624	19.7
-2.629	23.3
-2.635	24.7
-2.640	23.9
-2.645	21.9
-2.651	20.3
-2.656	20.3
-2.661	23.1
-2.667	29.4
-2.672	35.1
-2.677	35.3
-2.683	30.1
-2.688	24.4
-2.693	21.3
-2.699	20.0
-2.704	20.9
-2.709	22.1
-2.715	23.5
-2.720	22.8
-2.725	19.9
-2.731	16.4
-2.736	12.1
-2.741	11.3
-2.747	10.9
-2.752	11.3
-2.757	12.6
-2.763	15.5
-2.768	19.7
-2.773	23.1
-2.779	24.1
-2.784	22.9
-2.789	20.9
-2.795	19.7
-2.800	20.8
-2.805	25.2
-2.811	32.3
-2.816	36.2
-2.821	32.9
-2.827	27.2
-2.832	22.8
-2.837	20.8
-2.843	20.6
-2.848	21.8
-2.853	23.3
-2.859	22.5
-2.864	19.1
-2.869	15.6
-2.875	13.0
-2.880	11.5
-2.885	11.0
-2.891	11.6
-2.896	13.5
-2.901	17.2
-2.907	21.2
-2.912	23.3
-2.917	22.6
-2.923	20.6
-2.928	19.2
-2.933	19.6
-2.939	23.7
-2.944	30.9
-2.949	35.4
-2.955	32.8
-2.960	27.2
-2.965	23.0
-2.971	21.0
-2.976	21.1
-2.981	22.5
-2.987	23.8
-2.992	22.1
-2.997	18.3
-3.003	14.8
-3.008	12.5
-3.013	11.3
-3.019	11.3
-3.024	12.5
-3.029	15.7
-3.035	19.7
-3.040	22.2
-3.045	22.2
-3.051	20.2
-3.056	18.8
-3.061	19.4
-3.067	23.0
-3.072	29.5
-3.077	32.9
-3.083	30.0
-3.088	25.2
-3.093	21.6
-3.099	20.1
-3.104	20.5
-3.109	21.7
-3.115	21.7
-3.120	19.1
-3.125	15.5
-3.131	12.8
-3.136	11.3
-3.141	10.9
-3.147	11.7
-3.152	14.1
-3.157	18.0
-3.163	21.3
-3.168	22.1
-3.173	20.8
-3.179	19.4
-3.184	19.6
-3.189	23.0
-3.195	28.6
-3.200	31.7
-3.205	28.8
-3.211	24.1
-3.216	20.6
-3.221	19.5
-3.227	20.2
-3.232	21.6
-3.237	20.8
-3.243	17.7
-3.248	14.2
-3.253	11.9
-3.259	10.9
-3.264	11.1
-3.269	12.6
-3.275	14.9
-3.280	17.2
-3.285	17.3
-3.291	16.4
-3.296	15.5
-3.301	16.4
-3.306	19.9
-3.312	25.4
-3.317	29.1
-3.322	27.8
-3.328	23.8
-3.333	20.7
-3.338	19.6
-3.344	20.3
-3.349	21.2
-3.354	20.0
-3.360	16.9
-3.365	13.7
-3.370	11.7
-3.376	11.0
-3.381	11.8
-3.386	14.2
-3.392	17.7
-3.397	20.3
-3.402	20.5
-3.408	19.2
