&a / 	I1 / 
-0.904	8.0
-0.909	7.7
-0.914	7.4
-0.920	7.2
-0.925	7.1
-0.930	7.1
-0.936	6.9
-0.941	6.8
-0.946	6.7
-0.952	6.7
-0.957	6.6
-0.962	6.6
-0.968	6.7
-0.973	7.0
-0.979	7.3
-0.984	7.8
-0.989	8.3
-0.995	9.0
-1.000	9.8
-1.005	10.6
-1.011	11.4
-1.016	12.3
-1.021	13.1
-1.027	14.5
-1.032	14.8
-1.037	15.4
-1.043	15.9
-1.048	16.7
-1.053	17.5
-1.059	18.5
-1.064	19.7
-1.069	21.1
-1.075	22.6
-1.080	24.3
-1.085	26.1
-1.091	28.2
-1.096	30.3
-1.101	32.4
-1.107	34.8
-1.112	37.3
-1.118	39.7
-1.123	42.2
-1.128	44.5
-1.134	46.7
-1.139	48.5
-1.144	49.9
-1.150	50.5
-1.155	50.4
-1.160	49.2
-1.166	47.0
-1.171	43.7
-1.176	39.6
-1.182	34.9
-1.187	30.2
-1.192	25.8
-1.198	21.9
-1.203	18.6
-1.208	16.0
-1.214	13.9
-1.219	12.3
-1.224	11.0
-1.230	10.2
-1.235	9.4
-1.240	8.8
-1.246	8.3
-1.251	8.0
-1.256	7.7
-1.262	7.6
-1.267	7.4
-1.273	7.5
-1.278	7.5
-1.283	7.6
-1.289	7.8
-1.294	8.1
-1.299	8.4
-1.305	8.8
-1.310	9.4
-1.315	10.0
-1.321	10.7
-1.326	11.6
-1.331	12.4
-1.337	13.3
-1.342	14.2
-1.347	15.0
-1.353	15.9
-1.358	16.8
-1.363	17.7
-1.369	19.2
-1.374	20.1
-1.379	21.1
-1.385	22.4
-1.390	24.1
-1.395	26.0
-1.401	28.3
-1.406	30.8
-1.411	33.4
-1.417	35.9
-1.422	38.1
-1.428	40.0
-1.433	41.5
-1.438	42.5
-1.444	42.8
-1.449	42.0
-1.454	40.2
-1.460	37.6
-1.465	34.4
-1.470	30.6
-1.476	26.5
-1.481	22.7
-1.486	19.5
-1.492	17.0
-1.497	15.0
-1.502	13.4
-1.508	12.2
-1.513	11.3
-1.518	10.6
-1.524	10.0
-1.529	9.6
-1.534	9.2
-1.540	8.9
-1.545	8.7
-1.550	8.4
-1.556	8.3
-1.561	8.4
-1.566	8.6
-1.572	8.9
-1.577	9.4
-1.582	10.1
-1.588	10.8
-1.593	11.6
-1.599	12.5
-1.604	13.5
-1.609	14.6
-1.615	15.9
-1.620	17.2
-1.625	18.6
-1.631	20.2
-1.636	22.0
-1.641	24.0
-1.647	26.1
-1.652	28.4
-1.657	30.8
-1.663	33.2
-1.668	35.8
-1.673	37.9
-1.679	39.9
-1.684	41.3
-1.689	41.9
-1.695	41.6
-1.700	39.9
-1.705	37.1
-1.711	31.9
-1.716	28.0
-1.721	23.7
-1.727	19.8
-1.732	16.6
-1.737	14.0
-1.743	12.2
-1.748	10.8
-1.753	9.8
-1.759	9.2
-1.764	8.7
-1.769	8.5
-1.775	8.6
-1.780	8.7
-1.786	8.8
-1.791	9.1
-1.796	9.6
-1.802	10.2
-1.807	10.8
-1.812	11.6
-1.818	12.5
-1.823	13.4
-1.828	14.5
-1.834	15.7
-1.839	17.0
-1.844	18.4
-1.850	20.0
-1.855	21.8
-1.860	23.8
-1.866	25.9
-1.871	28.1
-1.876	30.3
-1.882	32.4
-1.887	34.5
-1.892	36.2
-1.898	37.6
-1.903	38.2
-1.908	37.7
-1.914	36.2
-1.919	33.5
-1.924	29.8
-1.930	25.5
-1.935	21.2
-1.940	17.6
-1.946	14.8
-1.951	12.7
-1.956	11.3
-1.962	10.2
-1.967	9.7
-1.972	9.3
-1.978	9.1
-1.983	9.2
-1.989	9.4
-1.994	9.8
-1.999	10.2
-2.005	10.7
-2.010	11.5
-2.015	12.2
-2.021	13.1
-2.026	14.0
-2.031	15.2
-2.037	16.5
-2.042	17.9
-2.047	19.4
-2.053	22.1
-2.058	23.5
-2.063	25.2
-2.069	27.1
-2.074	29.1
-2.079	31.1
-2.085	32.9
-2.090	34.4
-2.095	35.3
-2.101	35.0
-2.106	33.6
-2.111	31.1
-2.117	27.4
-2.122	23.3
-2.127	19.2
-2.133	15.9
-2.138	13.5
-2.143	11.8
-2.149	10.7
-2.154	10.1
-2.159	9.8
-2.165	9.7
-2.170	9.9
-2.175	10.2
-2.181	10.6
-2.186	11.1
-2.191	11.6
-2.197	12.4
-2.202	13.3
-2.207	14.3
-2.213	15.5
-2.218	16.8
-2.223	18.1
-2.229	19.5
-2.234	21.2
-2.240	22.9
-2.245	24.5
-2.250	26.3
-2.256	28.0
-2.261	29.7
-2.266	31.1
-2.272	31.8
-2.277	31.7
-2.282	30.4
-2.288	28.1
-2.293	24.6
-2.298	20.8
-2.304	17.2
-2.309	14.3
-2.314	12.3
-2.320	11.0
-2.325	10.2
-2.330	9.8
-2.336	9.7
-2.341	9.9
-2.346	10.1
-2.352	10.6
-2.357	11.2
-2.362	11.8
-2.368	12.8
-2.373	13.8
-2.378	14.8
-2.384	16.2
-2.389	17.5
-2.394	19.9
-2.400	20.9
-2.405	22.3
-2.410	23.7
-2.416	25.3
-2.421	26.6
-2.426	28.1
-2.432	29.2
-2.437	29.7
-2.442	29.3
-2.448	27.8
-2.453	25.3
-2.458	21.9
-2.464	18.4
-2.469	15.3
-2.474	13.0
-2.480	11.4
-2.485	10.5
-2.490	10.1
-2.496	9.9
-2.501	10.1
-2.506	10.3
-2.512	10.8
-2.517	11.4
-2.522	12.2
-2.528	13.1
-2.533	14.1
-2.538	15.3
-2.544	16.6
-2.549	17.8
-2.554	19.0
-2.560	20.3
-2.565	21.8
-2.570	23.1
-2.576	24.4
-2.581	25.6
-2.586	26.5
-2.592	26.8
-2.597	26.2
-2.602	24.6
-2.608	22.2
-2.613	19.1
-2.619	16.0
-2.624	13.4
-2.629	11.8
-2.635	10.8
-2.640	10.2
-2.645	10.0
-2.651	10.2
-2.656	10.5
-2.661	11.0
-2.667	11.7
-2.672	12.5
-2.677	13.5
-2.683	14.7
-2.688	16.0
-2.693	17.4
-2.699	18.6
-2.704	19.8
-2.709	21.0
-2.715	22.1
-2.720	23.2
-2.725	24.1
-2.731	24.7
-2.736	25.3
-2.741	24.3
-2.747	22.8
-2.752	20.5
-2.757	17.8
-2.763	15.0
-2.768	12.7
-2.773	11.2
-2.779	10.3
-2.784	10.0
-2.789	9.9
-2.795	10.1
-2.800	10.7
-2.805	11.3
-2.811	12.1
-2.816	13.1
-2.821	14.1
-2.827	15.3
-2.832	16.7
-2.837	17.9
-2.843	19.0
-2.848	20.0
-2.853	20.9
-2.859	21.7
-2.864	22.4
-2.869	22.9
-2.875	22.7
-2.880	21.8
-2.885	20.4
-2.891	18.2
-2.896	15.7
-2.901	13.1
-2.907	11.3
-2.912	10.2
-2.917	9.6
-2.923	9.6
-2.928	9.8
-2.933	10.4
-2.939	11.0
-2.944	11.9
-2.949	12.9
-2.955	13.7
-2.960	14.7
-2.965	15.7
-2.971	16.8
-2.976	17.8
-2.981	18.9
-2.987	19.6
-2.992	20.3
-2.997	20.8
-3.003	20.9
-3.008	20.4
-3.013	19.2
-3.019	17.5
-3.024	15.4
-3.029	12.9
-3.035	10.9
-3.040	9.5
-3.045	8.9
-3.051	8.6
-3.056	8.9
-3.061	9.3
-3.067	10.0
-3.072	10.9
-3.077	12.4
-3.083	13.3
-3.088	14.2
-3.093	15.1
-3.099	16.0
-3.104	16.8
-3.109	17.7
-3.115	18.4
-3.120	19.0
-3.125	19.3
-3.131	19.1
-3.136	18.2
-3.141	16.9
-3.147	15.0
-3.152	12.6
-3.157	10.6
-3.163	9.0
-3.168	7.9
-3.173	7.5
-3.179	7.5
-3.184	7.9
-3.189	8.5
-3.195	9.4
-3.200	10.4
-3.205	11.6
-3.211	12.8
-3.216	13.8
-3.221	14.8
-3.227	15.7
-3.232	16.5
-3.237	17.1
-3.243	17.5
-3.248	17.5
-3.253	17.0
-3.259	16.0
-3.264	14.5
-3.269	12.5
-3.275	10.4
-3.280	8.4
-3.285	7.1
-3.291	6.5
-3.296	6.2
-3.301	6.4
-3.306	6.8
-3.312	7.5
-3.317	8.4
-3.322	9.4
-3.328	10.6
-3.333	11.8
-3.338	12.8
-3.344	13.8
-3.349	14.8
-3.354	15.5
-3.360	16.0
-3.365	16.0
-3.370	15.4
-3.376	14.3
-3.381	12.6
-3.386	10.6
-3.392	8.7
-3.397	7.0
-3.402	6.0
-3.408	5.3
