&a 	I1
-0.438	23.8
-0.444	23.9
-0.449	24.0
-0.455	24.2
-0.460	24.4
-0.465	24.8
-0.471	25.1
-0.476	25.2
-0.481	25.3
-0.487	25.7
-0.492	25.7
-0.497	25.0
-0.503	24.4
-0.508	24.1
-0.513	24.3
-0.519	24.6
-0.524	24.6
-0.529	24.2
-0.535	23.7
-0.540	23.2
-0.545	22.0
-0.551	20.8
-0.556	19.7
-0.561	18.9
-0.567	18.1
-0.572	17.3
-0.578	16.5
-0.583	15.6
-0.588	14.8
-0.594	14.0
-0.599	13.2
-0.604	12.5
-0.610	11.8
-0.615	11.2
-0.620	10.7
-0.626	10.2
-0.631	9.8
-0.636	9.4
-0.642	9.3
-0.647	9.2
-0.652	9.1
-0.658	8.9
-0.663	8.7
-0.668	8.6
-0.674	8.5
-0.679	8.5
-0.684	8.5
-0.690	8.5
-0.695	8.6
-0.701	8.8
-0.706	8.9
-0.711	9.2
-0.717	9.4
-0.722	9.8
-0.727	10.1
-0.733	10.4
-0.738	10.8
-0.743	11.4
-0.749	12.1
-0.754	12.9
-0.759	13.7
-0.765	14.7
-0.770	15.9
-0.775	17.1
-0.781	18.3
-0.786	19.5
-0.791	20.9
-0.797	22.0
-0.802	22.5
-0.807	22.8
-0.813	23.2
-0.818	24.0
-0.823	24.8
-0.829	25.2
-0.834	25.2
-0.840	25.0
-0.845	24.7
-0.850	24.6
-0.856	24.5
-0.861	24.7
-0.866	25.1
-0.872	25.9
-0.877	27.1
-0.882	28.3
-0.888	29.8
-0.893	31.4
-0.898	32.8
-0.904	34.0
-0.909	34.8
-0.914	35.3
-0.920	35.3
-0.925	34.8
-0.930	33.9
-0.936	32.7
-0.941	30.9
-0.946	29.2
-0.952	27.8
-0.957	26.9
-0.962	26.1
-0.968	25.4
-0.973	24.8
-0.979	24.5
-0.984	24.3
-0.989	24.3
-0.995	24.1
-1.000	23.8
-1.005	23.5
-1.011	23.0
-1.016	22.4
-1.021	21.6
-1.027	20.7
-1.032	19.6
-1.037	18.4
-1.043	17.3
-1.048	16.0
-1.053	14.8
-1.059	13.7
-1.064	12.6
-1.069	11.6
-1.075	10.9
-1.080	10.3
-1.085	9.9
-1.091	9.5
-1.096	9.5
-1.101	9.5
-1.107	9.5
-1.112	9.5
-1.118	9.8
-1.123	10.0
-1.128	10.4
-1.134	10.8
-1.139	11.5
-1.144	12.3
-1.150	13.2
-1.155	14.4
-1.160	15.4
-1.166	16.5
-1.171	18.0
-1.176	19.9
-1.182	21.7
-1.187	23.6
-1.192	24.9
-1.198	25.7
-1.203	25.9
-1.208	25.8
-1.214	25.5
-1.219	25.4
-1.224	25.5
-1.230	26.0
-1.235	27.1
-1.240	28.5
-1.246	30.1
-1.251	31.6
-1.256	32.9
-1.262	33.5
-1.267	33.6
-1.273	33.2
-1.278	32.3
-1.283	31.0
-1.289	29.6
-1.294	28.0
-1.299	26.7
-1.305	25.5
-1.310	24.6
-1.315	24.0
-1.321	23.5
-1.326	23.0
-1.331	22.1
-1.337	20.9
-1.342	19.8
-1.347	18.9
-1.353	18.1
-1.358	16.9
-1.363	15.7
-1.369	14.5
-1.374	13.3
-1.379	12.1
-1.385	11.2
-1.390	10.5
-1.395	10.0
-1.401	9.6
-1.406	9.5
-1.411	9.5
-1.417	9.7
-1.422	10.0
-1.428	10.4
-1.433	11.0
-1.438	11.8
-1.444	12.8
-1.449	14.3
-1.454	15.8
-1.460	17.4
-1.465	19.0
-1.470	20.7
-1.476	22.1
-1.481	23.1
-1.486	23.5
-1.492	23.7
-1.497	23.8
-1.502	24.2
-1.508	25.0
-1.513	26.0
-1.518	27.0
-1.524	28.3
-1.529	29.2
-1.534	30.5
-1.540	30.8
-1.545	30.4
-1.550	29.6
-1.556	28.3
-1.561	26.7
-1.566	25.1
-1.572	23.9
-1.577	23.1
-1.582	22.5
-1.588	21.7
-1.593	21.0
-1.599	20.2
-1.604	19.1
-1.609	18.0
-1.615	16.7
-1.620	15.1
-1.625	13.5
-1.631	12.3
-1.636	11.5
-1.641	10.8
-1.647	10.3
-1.652	9.9
-1.657	9.6
-1.663	9.6
-1.668	10.0
-1.673	10.7
-1.679	11.5
-1.684	12.6
-1.689	14.0
-1.695	15.7
-1.700	17.7
-1.705	19.7
-1.711	21.4
-1.716	22.7
-1.721	23.5
-1.727	24.0
-1.732	24.4
-1.737	24.9
-1.743	25.8
-1.748	27.3
-1.753	28.8
-1.759	30.1
-1.764	30.7
-1.769	30.1
-1.775	29.1
-1.780	27.9
-1.786	26.7
-1.791	25.7
-1.796	24.8
-1.802	24.0
-1.807	23.2
-1.812	22.3
-1.818	21.3
-1.823	20.1
-1.828	18.7
-1.834	17.5
-1.839	16.1
-1.844	14.7
-1.850	13.4
-1.855	12.1
-1.860	11.3
-1.866	10.7
-1.871	10.3
-1.876	10.2
-1.882	10.3
-1.887	10.8
-1.892	11.6
-1.898	12.8
-1.903	14.4
-1.908	16.4
-1.914	18.4
-1.919	20.4
-1.924	22.0
-1.930	23.2
-1.935	24.0
-1.940	24.6
-1.946	25.3
-1.951	26.5
-1.956	28.0
-1.962	29.3
-1.967	30.4
-1.972	30.8
-1.978	30.6
-1.983	29.8
-1.989	28.4
-1.994	26.8
-1.999	25.3
-2.005	24.2
-2.010	23.0
-2.015	21.8
-2.021	20.6
-2.026	19.3
-2.031	17.7
-2.037	16.0
-2.042	14.3
-2.047	12.7
-2.053	11.5
-2.058	10.7
-2.063	10.3
-2.069	10.2
-2.074	10.3
-2.079	10.8
-2.085	11.7
-2.090	13.0
-2.095	14.8
-2.101	16.9
-2.106	19.1
-2.111	21.1
-2.117	22.8
-2.122	24.0
-2.127	24.8
-2.133	25.5
-2.138	26.4
-2.143	28.0
-2.149	29.3
-2.154	30.3
-2.159	30.4
-2.165	30.0
-2.170	28.9
-2.175	27.3
-2.181	25.7
-2.186	24.5
-2.191	23.2
-2.197	22.0
-2.202	20.7
-2.207	19.0
-2.213	17.1
-2.218	15.2
-2.223	13.6
-2.229	12.3
-2.234	11.3
-2.240	10.6
-2.245	10.2
-2.250	10.1
-2.256	10.4
-2.261	11.2
-2.266	12.7
-2.272	14.8
-2.277	17.0
-2.282	19.3
-2.288	21.2
-2.293	22.4
-2.298	23.4
-2.304	24.5
-2.309	25.7
-2.314	27.4
-2.320	28.9
-2.325	29.9
-2.330	30.0
-2.336	29.6
-2.341	28.2
-2.346	26.4
-2.352	24.6
-2.357	23.1
-2.362	21.7
-2.368	20.6
-2.373	19.3
-2.378	17.9
-2.384	16.2
-2.389	14.4
-2.394	12.8
-2.400	11.6
-2.405	10.8
-2.410	10.5
-2.416	10.5
-2.421	11.3
-2.426	12.5
-2.432	14.1
-2.437	16.2
-2.442	18.5
-2.448	20.5
-2.453	22.1
-2.458	23.2
-2.464	24.3
-2.469	25.5
-2.474	26.8
-2.480	28.1
-2.485	29.1
-2.490	29.4
-2.496	28.4
-2.501	26.4
-2.506	24.4
-2.512	22.6
-2.517	21.4
-2.522	20.3
-2.528	19.2
-2.533	17.7
-2.538	16.0
-2.544	14.2
-2.549	12.5
-2.554	11.3
-2.560	10.6
-2.565	10.3
-2.570	10.5
-2.576	11.4
-2.581	12.9
-2.586	14.8
-2.592	16.9
-2.597	19.1
-2.602	21.0
-2.608	22.2
-2.613	22.9
-2.619	24.0
-2.624	25.7
-2.629	27.2
-2.635	28.0
-2.640	28.0
-2.645	27.2
-2.651	25.8
-2.656	24.2
-2.661	22.6
-2.667	21.2
-2.672	19.7
-2.677	18.1
-2.683	15.9
-2.688	13.7
-2.693	12.0
-2.699	10.7
-2.704	10.0
-2.709	9.9
-2.715	10.3
-2.720	11.0
-2.725	12.2
-2.731	14.2
-2.736	17.8
-2.741	19.7
-2.747	21.1
-2.752	22.2
-2.757	23.3
-2.763	24.6
-2.768	26.1
-2.773	26.9
-2.779	26.9
-2.784	26.3
-2.789	25.0
-2.795	23.5
-2.800	21.9
-2.805	20.3
-2.811	18.7
-2.816	17.1
-2.821	15.2
-2.827	13.4
-2.832	11.8
-2.837	10.6
-2.843	9.8
-2.848	9.8
-2.853	10.3
-2.859	11.6
-2.864	13.2
-2.869	15.1
-2.875	17.2
-2.880	19.4
-2.885	21.0
-2.891	22.2
-2.896	23.6
-2.901	25.1
-2.907	26.0
-2.912	26.2
-2.917	25.4
-2.923	23.9
-2.928	22.2
-2.933	20.6
-2.939	19.2
-2.944	17.7
-2.949	16.1
-2.955	14.4
-2.960	12.4
-2.965	11.0
-2.971	10.0
-2.976	9.7
-2.981	10.1
-2.987	11.2
-2.992	12.9
-2.997	15.1
-3.003	17.6
-3.008	19.7
-3.013	21.3
-3.019	22.7
-3.024	24.2
-3.029	25.9
-3.035	27.0
-3.040	27.3
-3.045	26.2
-3.051	24.2
-3.056	22.0
-3.061	20.3
-3.067	19.0
-3.072	17.6
-3.077	15.6
-3.083	13.6
-3.088	11.6
-3.093	10.4
-3.099	9.6
-3.104	9.8
-3.109	10.8
-3.115	12.7
-3.120	14.8
-3.125	17.0
-3.131	19.0
-3.136	20.7
-3.141	22.0
-3.147	24.0
-3.152	26.3
-3.157	27.4
-3.163	27.3
-3.168	26.3
-3.173	24.7
-3.179	22.7
-3.184	20.9
-3.189	19.2
-3.195	17.3
-3.200	15.1
-3.205	12.8
-3.211	11.1
-3.216	10.0
-3.221	9.9
-3.227	10.3
-3.232	11.9
-3.237	14.2
